NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
*daŋ² & *ka(ŋ )²	speech	话	1115	SPEECH	noun
	sound; voice	声音	1811	SOUND OR NOISE	noun
to²yim¹	book	书	963	BOOK	noun
*ʔ-m(y)iŋ¹	name	名字	1405	NAME	noun
*C-makH	dream	梦	2374	DREAM	noun
*ʃum¹	shadow	影子	1388	SHADE	noun
*re¹ sa¹	deity	神	3231	DEITY	noun
*re¹ sa¹	God	上帝	1944	GOD	noun
*ʔ-la¹	soul (1)	魂	811	SOUL	noun
*C-natL	spirit (evil)	鬼	1175	GHOST	noun
	boundary marker	边界记号			
*kram¹	fence	栅栏	1690	FENCE	noun
*[sənat˧]	gun	枪	1566	GUN	noun
*le²	bow	弓	994	BOW	noun
*C-mla²	arrow	箭	977	ARROW	noun
*C-can¹	arrow (head)	箭头	977	ARROW	noun
	cage (e.g., for ducks)	笼	3283	CAGE	noun
*tum/jum²	drum	鼓	908	DRUM	noun
*loŋ¹	gong	铜锣	2502	GONG	noun
*[mən]	town	城	1391	TOWN	noun
*kakH & *koŋ³& *kwa¹& *pu³	village	村(寨)	930	VILLAGE	noun
*[li]	custom	风俗	1747	CUSTOM	noun
	ritual tree	龙树			
*[ʃaŋ]	invocation	祈祷			
*m-ju¹	bell	铃	2246	BELL	noun
*C-ga² & *p-lwe¹; gru²lu²	flute	笛子	777	FLUTE	noun
*s-ɲaŋ²	gourd reed-organ	芦笙			
*ʔ-gu¹ & *C-ʃukL	pipe (yuantong)	烟筒	1124	PIPE	noun
*wa³ & *(C)-toŋ¹	trap	陷阱	1075	TRAP (PITFALL)	noun
*dokL	poison	毒药	655	POISON	noun
*C-ɲi¹ & *haŋ³	look at	看	1819	LOOK	verb
*mraŋ¹	see	看见	1409	SEE	verb
*səmraŋ¹	show	给看	1039	SHOW	verb
*ʔ-na¹	listen	听	1608	LISTEN	verb
*gra²	hear	听见	1408	HEAR	verb
*dza²	eat	吃	1336	EAT	verb
*sədza²	feed	喂（人、猪）	739	FEED	verb
*sə(m)-lyakL	feed animals	喂 (喂鸡)			
*m-daŋ¹	drink	喝	1401	DRINK	verb
*səm-daŋ¹	give to drink	给喝			
*C-tsatL & *C-kukL	bite	咬	1403	BITE	verb
*(g) wa² & *m-bay²	chew	嚼	321	CHEW	verb
*m-lyakL	lick	舔	319	LICK	verb
	savor	含	2190	TASTE	noun
	savor	含	2190	TASTE	noun
*myo(k)¹/Lʃ	swallow	咽	897	SWALLOW	verb
	spit	吐 (吐口水)	1440	SPIT	verb
*C-patL	vomit	呕吐	1278	VOMIT	verb
*C-cutL	suck	吸	1421	SUCK	verb
*s-mutH	blow (on)	吹 (吹火)	176	BLOW (WITH MOUTH)	verb
*ʔukH	say	说	1458	SAY	verb
*yaw³ & *dze²	speak	讲	1623	SPEAK	verb
	tell	告诉	1711	TELL	verb
*ku/kaw¹	call; be called	叫	180	CALL BY NAME	verb
	ask	问	1309	ASK (INQUIRE)	verb
	answer	答 (回答)	1275	ANSWER	verb
	send for; request	请	1828	ASK (REQUEST)	verb
	smell	闻 (嗅)	2124	SMELL	verb
*to²	touch; feel; stroke	摸 (摸摸刀口)	1892	TOUCH	verb
*yu¹	take	拿 (拿书)	1749	TAKE	verb
*na²	grasp; grip	握(握刀把)	2021	GRASP	verb
*s-mi¹	grab	抓住	855	SEIZE	verb
*C-xakL	pick (e.g., fruit)	摘 (摘果子)	2148	PICK	verb
	rub (with hands)	搓 (措绳子)	1449	RUB	verb
	rip; tear	撕	1735	TEAR (SHRED)	verb
*s-yökL	twist; wring	拧 (拧毛巾)	430	TWIST	verb
	pick up	拾 (拾起)	371	PICK UP	verb
*s-mi¹	catch; seize	捉 (捉鸡)	702	CATCH	verb
	scatter; sprinkle (e.g., seed)	撒 (撒种子)	2064	SCATTER (SEEDS)	verb
	throw away	丢掉	3696	THROW AWAY	verb
	pitch (throw from side way)	摔 (石头)	664	RESIN	noun
	toss (overhand)	投	1456	THROW	verb
*s-ŋakL	stretch; stretch out	伸 (伸手)	214	STRETCH	verb
*ʔ-di² & *ʔ-toŋ²	pound	舂/捣碎	354	POUND	verb
*kyi²	lift (over head)	举起	501	LIFT	verb
*tupH	fold	折	1470	FOLD	verb
*s-nitL & *C-ɲapL & *tsitH	squeeze	挤压/榨	1414	SQUEEZE	verb
*tsitH & *s-nitL & *C-ɲapL	pinch	捏	378	PINCH	verb
*(g)yitL	massage	按摩	3119	MASSAGE (SOMEBODY)	verb
*səkokL	bend	使弯曲	2224	BEND (SOMETHING)	verb
*m-gaŋ¹ & *cway²	pull a	拉	1455	PULL	verb
	push	推	1452	PUSH	verb
*tekH	kick	踢	1135	KICK	verb
	kneel	跪	66	KNEEL	verb
*(C)n/ʔ-mi¹	sit	坐	1416	SIT	verb
*bo² & *bakL	carry, on back	背 (背小孩)	465	CARRY ON BACK	verb
	carry,  in arms	抱 (抱小孩)	700	CARRY	verb
	carry, from hand	提	412	CARRY IN HAND	verb
	carry, mid pole	担	700	CARRY	verb
	fall	跌 (跌倒)	1280	FALL	verb
*s-new²/³/ekL	lean (against)	靠 (人靠在树上)	2219	LEAN (MEAT)	adjective
*C-yakL	spend night	过夜			
	rest	休息	168	REST	verb
*yipL	sleep	睡觉	1585	SLEEP	verb
*səyipL	put to sleep	使睡			
*(C)-no²	awake	醒 (睡醒)	825	AWAKE	adjective
*səno²	awaken	唤醒	825	AWAKE	adjective
	do (work)	做 (做工)	813	DO	verb
*mi(aw)² & *[kam]	labor; work	劳动	984	WORK (LABOUR)	noun
	to plow	犁 (犁地)	1921	PLOUGH	verb
*m-du²	dig (a hole)	挖 (挖洞)	1418	DIG	verb
	plant; grow	种	1486	PLANT (SOMETHING)	verb
	water	浇 (浇菜)	948	WATER	noun
*ʔ-dökH	slice; cut	切 (切菜)	1432	CUT	verb
*ʔ-brakH	slice; cut in half	切 (切苹果、西瓜)	2954	SLICE	noun
*ʔ-brakH	split; chop; cleave	劈 (劈木柴)	3151	CUT (WITH AXE)	noun
*m-cikH	chop (down)	砍 (砍树)	355	CUT DOWN	verb
*ritL	cut (reap)	割 (割稻)	1432	CUT	verb
*di¹/³	whittle	削	275	PEEL	verb
*m-gya/gay²	stab	刺	1434	STAB	verb
	pull up; pull out	拔 (拔草)	2325	PULL OUT	verb
*ʔ-lokᶫ	graze; herd (a flock)	放牧	3058	GRAZE	verb
*m-yu¹	raise animals	饲养			
	lead along	牵 (牵牛)	43	LEAD (GUIDE)	verb
*way¹	buy	买	1869	BUY	verb
*(k) -rwaŋ²	sell	卖	1571	SELL	verb
*(k)-raw¹	count (number)	数 (数东西)	1420	COUNT	verb
*s-ma²	teach	教	709	TEACH	verb
*[hen] & *m-dzaŋ¹	study	学	1929	STUDY	verb
*C-dzakH & *m-bi¹/² & ʔgyakL;	cook; boil	煮	1100	COOK (SOMETHING)	verb
*ʔ/g-raw¹	fry (stirfry)	炒	991	FRY	verb
*C-sakL	steam	蒸	1193	STEAM	noun
*m-gak L	hunt; go hunting	打猎	1435	HUNT	verb
*(ʔ)-kukL, *m-pökH	shoot (a gun)	射	1172	SHOOT	verb
	hit (a target)	中 (射中)	1433	HIT	verb
*C-satL	kill	杀 (杀鸡)	1417	KILL	verb
*ʃe²	die	死	1494	DIE	verb
*si²	sharpen (grinding)	磨 (磨刀)	251	SHARPEN (SOMETHING)	verb
*m-kritH	mill (grinding)	磨 (磨米)	636	MILL	noun
*ʔ-wa¹	winnow with a fan	簸 (簸米)	2462	WINNOWING	verb
	ladle out; spoon up	舀 (舀水)	2788	LADLE (WATER)	verb
*watL	wear; put on	穿 (衣服)	976	WEAR	verb
*ʔ-kupH	wear (hat); put on (hat)	戴 (帽子)	3428	WEAR (ON HEAD)	noun
*C-netL	wear (turban)	戴(头巾)	976	WEAR	verb
*m-dum¹	wear (upper clothes)	穿(上衣)	976	WEAR	verb
*səwatL	clothe	给穿			
	take off	脱 (脱衣服)	1755	UNDRESS	verb
	roll up	卷 (卷烟)	121	SPIN	verb
	shave	剃 (头)	231	SHAVE	verb
*ʔ-pi²	comb	梳 (梳头)	1475	COMB	noun
	dye	染 (染衣服)	157	DYE	verb
*gyupL & *dapL	sew	缝(缝衣服)	1457	SEW	verb
	mend; patch	补 (补衣服)	2243	REPAIR	verb
*rakL	weave	编织	133	WEAVE	verb
	plait; braid	编 (编辫子)	1729	PLAIT OR BRAID OR WEAVE	verb
	make the bed	铺 (铺床)	2071	LAY (VERB)	verb
*sutH	sweep	扫 (扫地)	230	SWEEP	verb
*pwaŋ³ & *bloŋ³	open	开 (开门)	1156	OPEN	verb
*hapH & *pi²	close	关	1046	SHUT	verb
	shut	闭 (闭眼)	1046	SHUT	verb
*ʔ-ta²	put down; put/place	放 (下) [放置]	998	PUT	verb
*k-lwatH	release; let go; set free	放 (把鸟放走)	1095	LET GO OR SET FREE	verb
*C-gyitL & *ʔ-kukL	hang	挂 (挂在墙上)	2884	HANG	verb
	tie into a bundle	捆(绑)	1917	TIE	verb
	tie into a bundle	捆(绑)	1917	TIE	verb
*pay¹	tie; bind	系	1094	FASTEN	verb
*pre¹	untie	解 (解绳结)	352	UNTIE	verb
*ʔ-kun³/²	load; pack (put in)	装 (装进袋里)	1679	LOAD	noun
*ʔ-dwakH/ökH	take out	拿出	3654	TAKE OUT	verb
*C-ɲapL  & *s-nitL & *tsitH	press; fill in; squeeze in; stuff	塞 (塞在洞口)	1913	PRESS	verb
*səm-du² from dig m-du²	bury; cover up	埋 (埋物)	1719	BURY	verb
*səwakL	hide (thing)	藏 (东西)	602	HIDE (CONCEAL)	verb
*wakL	hide (self)	藏/躲 (自己)	2485	HIDE (ONESELF)	verb
	choose	挑选	1750	CHOOSE	verb
*byum¹ & *pup/ukH	pile up; heap up	堆 (堆积泥土)	1576	PILE UP	verb
	nail	钉(钉钉子)	1896	FINGERNAIL OR TOENAIL	noun
	want	要 (我要这个)	1784	WANT	verb
*ra³	get; obtain;	得 (得到)	694	GET	verb
	receive	收 (收起来)	694	GET	verb
	lose	遗失	3072	MISPLACE	verb
*x-ra¹	seek (look for)	找/寻找	1468	LOOK FOR	verb
*ʒum² & *nay³ (<#850)	use	用 (使用)	2072	USE (VERB)	verb
*m-gre² & *ʔ-ga³	play	玩	1413	PLAY	verb
	win	赢	866	WIN	verb
*mi¹/ga³	sing	唱（歌）	1261	SING	verb
*ga³ g/k(r)un¹/utH	dance	跳舞	1879	DANCE	verb
*kye²	borrow (money)	借 (借钱)	1823	BORROW	verb
*s-ŋa²	borrow (thing)	借(借东西）	1823	BORROW	verb
*C-kokL	give back; return; repay	还 (还钱)	85	GIVE BACK	verb
	owe	欠	369	OWE	verb
	compensate for; reimburse	赔偿			
*C-po³	send-off; deliver	送	2033	DELIVER	verb
*C-lo³	wait; await; expect	等(候)	1590	WAIT (FOR)	verb
*dzo¹/² & *C-doŋ² & *[phum]	meet; come across	遇见	1831	MEET	verb
	marry a husband	嫁	2163	MARRY (AS WOMAN)	verb
	marry a wife	娶	2164	MARRY (AS MAN)	verb
	scold; curse	骂	299	SCOLD	verb
	fight	打架	1423	FIGHT	verb
*m-tokH & *m-di²	hit; beat	打 (打人)	1433	HIT	verb
	rob; loot	抢	2073	ROB (VERB)	verb
*ko²	steal	偷	713	STEAL	verb
	cheat	骗	3055	SWINDLE	verb
*gra³	help	帮助	1897	HELP	verb
*səC-na¹	cure; treat; heal	医治	499	CURE	verb
*bay¹ & *C-klay¹/³	divide; separate; distribute	分	1119	DIVIDE	verb
*ray¹	laugh	笑	1355	LAUGH	verb
*ŋo¹	cry	哭	1839	CRY	verb
*[hak]	love	爱 (爱小孩)	923	LOVE	verb
	like; enjoy	喜欢 (喜欢唱歌)	1117	LIKE	verb
*si²	know; understand	懂; 知道	1410	KNOW (SOMETHING)	verb
	remember	记得	707	REMEMBER	verb
*ʔ-me³	forget	忘记	1523	FORGET	verb
*m-daŋ²	think	思考	2271	THINK	verb
*ʔ-(d)zupH	be angry	生气	2223	BE ANGRY	verb
	hate	恨	1607	HATE	verb
*(sə)-grokH	fear	怕	1419	FEAR (BE AFRAID)	verb
	have courage	敢	1779	DARE	verb
*ʔ-putL & *ɲa³	can (well)	会 (会做)	972	BE ABLE	verb
*ya³/¹	affirmative	是 (这是什么)	1268	YES	other
	is not	不是(这不是我的)	1269	NO	other
*jaŋ¹	have	有	773	HAVE	verb
	not have; lack; without	没有(我没有书)	3363	NOT HAVE	verb
*m-ju/oŋ² & *du²	walk	走	1443	WALK	verb
*p-re²	run	跑	1519	RUN	verb
*ʔ-dakH	ascend	上 (上山)	705	GO UP (ASCEND)	verb
*ʒakL	descend	下 (下山)	2014	GO DOWN (DESCEND)	verb
*la¹ & *li³	come	来	1446	COME	verb
*la¹	come up	上来			
*li³	come down	下来			
*x-ra¹	go	去	695	GO	verb
*le³	go up	上去	705	GO UP (ASCEND)	verb
*ay¹	go down	下去	2014	GO DOWN (DESCEND)	verb
	climb	爬(上)	1102	CLIMB	verb
*gokL	return	回	581	COME BACK	verb
*(k)-rokH/L	arrive	到	1387	ARRIVE	verb
	cross (over)	过 (过河)	574	TRANSIT	verb
	go through	经过	1742	TRAVERSE	verb
*ʔ-dwakH/ökH	exit (come out)	出 (出去)	1107	GO OUT	verb
*waŋ¹ & *luk/apL	enter	进 (进来)	749	ENTER	verb
	move back	退	421	RETREAT	verb
*paw¹	flee; escape	逃	956	FLEE	verb
	chase	追 (追上)	1047	PURSUE	verb
	step on	踩	575	TREAD	verb
*ʔ-bokH	jump; leap	跳	1829	JUMP	verb
	stride	跨 (跨小沟)			
*dzi²	ride; ride on	骑 (骑马)	367	RIDE	verb
*C-plekL	EXIST; to be	在; 有	1579	BE	verb
	dry (in the sun)	晒 (晒太阳)	1786	DRY UP	verb
	rain (V)	下雨	1253	RAIN (RAINING)	verb
	(of the wind) blow	刮风	175	BLOW (OF WIND)	verb
*sədukL	light (on fire)	点 (点火)	737	LIGHT (IGNITE)	verb
*dukL	burn	焚 (烧)	2102	BURN	verb
	burn up	烧掉			
*putH & cit/etH	roast (in fire)	烧(火里)	1962	ROAST (SOMETHING)	verb
*ʔ-gaŋ¹	roast (over fire)	烤(火上)	1962	ROAST (SOMETHING)	verb
*(C)-ʃukH/L	smoke	冒烟	778	SMOKE (EXHAUST)	noun
	explode	爆炸			
	flow	流 (水流)	2003	FLOW	verb
*xwan² & *xwatH	overflow; spill	溢	3130	SPILL (SOMETHING)	verb
	float	浮 (浮在水面)	1574	FLOAT	verb
	crack open; split open	裂开 (墙裂开)	3080	SPLIT OPEN	verb
	collapse; topple down	倒塌	1280	FALL	verb
	be short of; lack	缺 (碗缺了一个口)	2329	LACK (NOT HAVE)	verb
*(C)-lim³	roll	滚 (石头滚)	827	ROLL	verb
*g-waŋ¹	revolve; rotate; spin	旋转	121	SPIN	verb
*(sə)-gla³ & *(ʔ)-tse¹	fall; drop	掉 (掉在地下)	1280	FALL	verb
	snap in two (rope, string)	断 (绳子断了)	362	STRING	noun
*citH	break	破 (罐子破了)	680	BREAK (DESTROY OR GET DESTROYED)	verb
	leak	漏 (水桶漏水)	2253	DRIP (EMIT LIQUID)	verb
*C-dzakH & *m-bi¹/² & ʔgyakL;	boil	沸	2493	BOIL	verb
	change	变 (蛹变蛾)	1264	CHANGE	verb
baw³ be born	birth	生 (生孩子)	2805	BIRTH (ACCOUCHEMENT)	noun
	grow	长 (长大)	479	GROW	verb
	tremble; shiver	发抖	52	SHIVER	verb
*C-pwam²/apL & *sə-roŋ²	swell	肿	1573	SWELL	verb
*(b)-yam¹	fly (v.)	飞	1441	FLY (MOVE THROUGH AIR)	verb
*h/loŋ¹	bark	吠 (狗叫)fei	1204	BARK	noun
	call; crow (of animals)	啼 (公鸡啼)	2074	CROW (VERB)	verb
	lay (an egg)	生 (生蛋)	2464	LAY EGGS	verb
	brood, incubate	孵	2075	BROOD (VERB)	verb
	germinate, sprout, bud	发(芽)	2076	SPROUT (VERB)	verb
	bloom; blossom	开(花)	3287	BLOOM	verb
	bear fruit	结(果)	3054	BEAR FRUIT	verb
*m-bupL	rot (fruit)	腐烂	569	SPOIL (BECOME SPOILED)	verb
*ʔ-ta²	begin; start	开始	3447	BEGIN OR START	verb
*tso³/upH & *m-jay²	stop	停	2880	HALT (STOP)	verb
*[lə]	remain	留下	987	REMAIN	verb
*m-bupL	write	写	1672	WRITE	verb
tse²	wash (self)	洗(手)	3371	WASH (ONESELF)	verb
	get up	起来	1602	WAKE UP	verb
*k-lupH	shake	摇动	1909	SHAKE	verb
	sink	沉 (下)	1088	SINK (DESCEND)	verb
*bran¹	finish	完成	1766	FINISH	verb
*be²	give; BEN	给	1447	GIVE	verb
*pyakH	destroy	破坏	681	DESTROY	verb
	draw water (well)	吊（水）	1911	DRAW (WATER)	verb
	drain, to	排（水）	2754	TOWARDS	other
*ʔ-tu/oŋ¹; *ʔ-ryapL	be standing	站 (站位)	1442	STAND	verb
	skin (animal), to	剥皮	291	PULL OFF (SKIN)	verb
	peel (eggs, fruit)	剥	275	PEEL	verb
*C-mya²	clear field	除田			
*C-mrukL	weed	除草	3288	WEED	noun
*m-kokH	stir	搅拌	696	STIR	verb
*tsin¹	weigh	称	1098	WEIGH	verb
	soak; pickle	泡	2069	SOAK (VERB)	verb
	drown	淹死/溺死	1904	DROWN	verb
	accompany someone	陪	1542	ACCOMPANY	verb
*[lɔj]	swim	游泳	1439	SWIM	verb
	drill (a hole)	钻 (钻孔)	1501	BORE	verb
	insert	插	3071	INSERT	verb
	drive out	赶 (驱逐)			
*s-we² & *gwe³ (dry)	wither	枯（树叶枯）	2907	ROT	verb
*tso² & *ʔ-kyaŋ²	cough	咳嗽	879	COUGH	verb
*ha²/³ mi¹	yawn	打呵欠	1028	YAWN	verb
*ha¹ kye²	sneeze	打喷嚏	1621	SNEEZE	verb
*ʔutH	hiccup	打嗝	162	HICCOUGH	verb
*utL/an¹	belch	打饱嗝	2245	BELCH	verb
*p(y)aw² & *dekL	fart	放屁	1159	FART	verb
*ʔ-ko²	defecate	解大便	676	SHIT (DEFECATE)	verb
*ʃi²	urinate	解小便	592	PISS	verb
*m-krakH ~ m-prakH	scratch	挠/搔	1436	SCRATCH	verb
*c/jya² & ni²	live	活	1422	BE ALIVE	verb
*ʔ-pa¹	exchange	交换	2509	EXCHANGE	verb
*m-krapH & *ʔ-m-coŋ³ & *toŋ¹	butt	(用头)碰撞	834	BUTTOCKS	noun
*plu¹	white	白	1335	WHITE	adjective
*C-nakH	black	黑	163	BLACK	adjective
*ʔ-ni¹	red	红	156	RED	adjective
*s-rwe¹	yellow	黄	1424	YELLOW	adjective
*bra¹ & *[lan]	blue	蓝	837	BLUE	adjective
*ʔ-ɲo¹	green	绿	1425	GREEN	adjective
*pe¹	grey	灰色	153	GREY	adjective
	sharp (point)	尖 (笔嘴很尖)	372	POINTED	adjective
*takH	sharp (blade)	快 (刀快)	1396	SHARP	adjective
*dum²	dull	钝 (刀钝)	379	BLUNT	adjective
*woŋ²	round	圆 (球很圆)	1395	ROUND	adjective
*ʔ-bra²	flat	平 (路很平)	1633	FLAT	adjective
	steep	陡 (山很陡)	2717	STEEP	adjective
	situated straight	正 (帽子戴得正)	1725	CORRECT (RIGHT)	adjective
	situated crooked	歪 (帽子戴歪了)	3075	SLANTED	adjective
*(C)-dwaŋ¹ & *te²	straight	直 (棍子很直)	1404	STRAIGHT	adjective
*gokL	crooked; bent	弯 (棍子弯)	297	CROOKED	adjective
	thick; dense	稠 (粥很稠)	2239	DENSE	adjective
	thin; watery; sparse	稀 (粥很稀)	3545	WATERY	adjective
*krokH & *[kɛŋ] & *[hɛ˧]	hard	硬	1884	HARD	adjective
*C-nu²	soft	软	1856	SOFT	adjective
*m-ba³	bright; light	亮 (房子很亮)	679	BRIGHT	adjective
	dim; dark	暗 (房子很暗)	706	DARK	adjective
	clear (sky)	晴	2340	SUNNY	adjective
	overcast	阴	2341	CLOUDY	adjective
*m-bliŋ³	full	满	1429	FULL	adjective
	beautiful	美丽 {漂亮}	1427	BEAUTIFUL	adjective
	ugly	丑	1548	UGLY	adjective
*tsu¹	fat (person)	胖	1279	FAT (OBESE)	adjective
*tsi¹	fat; fatty (meat)	肥 (肉肥)	2449	FAT (OF MEAT AND FOOD)	adjective
	lean	瘦 (瘦肉)	2219	LEAN (MEAT)	adjective
	lean	瘦 (瘦肉)	2219	LEAN (MEAT)	adjective
	skinny; thin	瘦 (人瘦)	1400	THIN (SLIM)	adjective
	clean	干净	704	CLEAN	adjective
*kre² & *kyitH & *(C)cakH/L	dirty	脏	1230	DIRTY	adjective
*maŋ²	old (person)	老 (老人)	2112	OLD (AGED)	other
*nay²/¹	young	年轻	1207	YOUNG	adjective
*ʔ-min¹/²/³   & *m-d(y)akL	good	好 (东西好)	1035	GOOD	adjective
*pyakH > destroy	bad	坏 (人坏)	1292	BAD	adjective
*m-gi¹ & *[waj]	fast	快 (走得快)	1631	FAST	adjective
	slow	慢 (走得慢)	701	SLOW	adjective
*(s)-ɲakH/L & *ʔjwap/atH	wet	湿 (衣服湿)	1726	WET	adjective
*s-we² & *gwe³	dry	干 (衣服干)	1398	DRY	adjective
*C-ʃikL	new	新	1231	NEW	adjective
*ʔ-bi² & *ʔ-li¹	old	旧	1229	OLD	adjective
	raw; unripe	生 (生肉)	1959	RAW	adjective
*s-miŋ³	cooked; ripe	熟 (熟肉)	269	COOKED	adjective
	early	早 (来得早)	672	EARLY	adjective
*(k)-l(y)ay³	late	迟 (来迟了)	477	LATE	other
*sa¹	easy	容易	686	EASY	adjective
*kakH & *ʔ/s-ra²	difficult	难	584	DIFFICULT	adjective
*ʔ-loŋ¹ & *tsa¹	hot (temp.)	热	1286	HOT	adjective
*C-grakH	cold (weather)	冷	2483	COLD (OF WEATHER)	adjective
*lum¹	warm	暖和	1232	WARM	adjective
*(C)-m-gaŋ¹ &    *C-cokL	cool	凉快	2483	COLD (OF WEATHER)	adjective
*ʔ-kyin¹	sour	酸	1906	SOUR	adjective
*kyo¹	sweet	甜	717	SWEET	adjective
*ka²	bitter	苦	887	BITTER	adjective
*pi¹	hot (spicy)	辣	544	SPICY	adjective
	salty	咸	1091	SALTY	adjective
*may¹	delicious	好吃	1813	TASTY	adjective
	insipid	没味道	1771	TASTELESS	adjective
*[hɔm]	fragrant	香 (花香)	376	FRAGRANT	adjective
*ʔ-nam²	stinky	臭	42	STINKING	adjective
	fishy (smell)	腥 (鱼腥)			
*m-bupL & *ʔ-kri²	rotten	腐烂的	1728	ROTTEN	adjective
	full (stomach)	饱	106	SATIATED	adjective
*C-mwatL	hungry	饿	1533	BE HUNGRY	verb
*C-sipL	thirsty	渴	847	THIRSTY	adjective
*[hə]	tired	累 (疲乏/疲劳/疲倦)	1757	TIRED	adjective
*byaw¹/²	blessed; happy	幸福 (日子好过)	2529	BLESSED	noun
*ʔ/s-ra²	sad	忧愁	699	SAD	adjective
*s-rakL & *ʔ-daŋ¹	ashamed	惭愧/害羞	1894	ASHAMED	adjective
*s-rakL & *ʔ-daŋ¹	ashamed	惭愧/害羞	1894	ASHAMED	adjective
*g-ya² & *m-tsikH	itchy; ticklish	痒	149	ITCHY	adjective
*C-na¹	sick	病 (生病)	1847	SICK	adjective
	intelligent; clever	聪明	1310	CLEVER	adjective
	proud	骄傲	174	PROUD	adjective
	stupid	愚蠢	1518	STUPID	adjective
*ru² & *ʔ-butH	crazy	疯狂	1899	MAD	adjective
	diligent	勤(勤奋)	2077	DILIGENT	adjective
	busy	忙	2755	BUSY	adjective
	capable	能干(的)			
*m-byaŋ¹/²/³	lazy	懒	1564	LAZY	adjective
	rich	富	712	RICH	adjective
	poor	穷	1674	POOR	adjective
*datL	alive	活着	1422	BE ALIVE	verb
*[hak˥]	brave	勇敢	3	BRAVE	adjective
*yetL	drunk	醉	1463	DRUNK	adjective
	backwards	落后	2911	BACKWARD	other
*[pəŋ˩]	different	不同	2504	DIFFERENT	adjective
*du¹	same	一样 (相同)	200	SAME	other
	sticky	粘	3703	STICKY	adjective
	slick	(光)滑	3702	SLIPPERY	adjective
	tight	紧 (绑的紧)	3053	TIGHT	adjective
	loose	松 (绑的松)	2506	LOOSE	adjective
*kakH(oŋ¹) & *[pɛŋ˥]	expensive	贵	1426	EXPENSIVE	adjective
	cheap	便宜	1887	CHEAP	adjective
*C-t(s)a(w)¹/²	correct	正确	1725	CORRECT (RIGHT)	adjective
*lokL	enough	足够	1881	ENOUGH	other
*we²	FAR	远	1406	FAR	adjective
*b-ni²	NEAR	近	1942	NEAR	adjective
*(ʔ)-mroŋ³	HIGH	高	1265	HIGH	adjective
*ʔ-n-yim³	LOW	低	721	LOW	adjective
*s/m-riŋ¹	LONG (distance)	长	1203	LONG	adjective
*ʔ/s-n-yum¹	SHORT	短	1645	SHORT	adjective
*[laj]/C-mya²	MANY	多	1198	MANY	other
*nay²	FEW	少	1242	FEW	other
*glay¹	WIDE	宽	1243	WIDE	adjective
*ʔ-nakL	NARROW	窄	1267	NARROW	adjective
*k/ʔ-ri²/	BIG	大	1202	BIG	adjective
*n-yay¹	LITTLE	小	1246	SMALL	adjective
*ʔ-nakL	DEEP	深 (水深)	1593	DEEP	adjective
*tim²	SHALLOW	浅 (水浅)	193	SHALLOW	adjective
*laŋ¹	LIGHT	轻	1052	LIGHT (WEIGHT)	adjective
*C-li²	HEAVY	重	1210	HEAVY	adjective
*tu¹	THICK (2d)	厚	1244	THICK	adjective
*ba² & *C-jokL	THIN (2d)	薄	2249	THIN (OF SHAPE OF OBJECT)	adjective
	THICK (3d)	粗 (粗大)	2151	COARSE	adjective
	THIN (3d)	细 (细小)	2308	THIN	adjective
*a, *ka¹-X³³dʐu⁵⁵	HOW FAR?	有多远？			
*a, *ka¹-X dʐu⁵⁵	HOW HIGH?	有多高？			
*a, *ka¹-X dʐu⁵⁵	HOW LONG?	有多长？	2338	HOW LONG	other
*a, *ka¹-X dʐu⁵⁵	HOW WIDE?	有多宽？			
*a, *ka¹-X³³dʐu⁵⁵	HOW BIG?	有多大？			
*a, *ka¹-X³³dʐu⁵⁵	HOW DEEP?	有多深？			
*a, *ka¹-X³³dʐu⁵⁵	HOW HEAVY?	有多重？			
*ti²	one	一	1493	ONE	numeral
*s-ni(k)²/L	two	二	1498	TWO	numeral
*C-sum²	three	三	492	THREE	numeral
*b-le²	four	四	1500	FOUR	numeral
*ŋa²	five	五	493	FIVE	numeral
*C-krokL	six	六	1703	SIX	numeral
*C-ʃi(k)²/L	seven	七	1704	SEVEN	numeral
*C-yetL	eight	八	1705	EIGHT	numeral
*go²	nine	九	1483	NINE	numeral
*tsay¹	ten	十	1515	TEN	numeral
*tsay¹di²	eleven	十一	1706	ELEVEN	numeral
*tsay¹di²	eleven	十一	1706	ELEVEN	numeral
	twelve	十二	1707	TWELVE	numeral
	twelve	十二	1707	TWELVE	numeral
s-ni² ʔtsay¹	twenty	二十	1710	TWENTY	numeral
	twentyone	二十一	1734	TWENTY ONE	numeral
*C-ra¹	hundred	百	1634	HUNDRED	numeral
*ʔ-toŋ¹	thousand	千	1843	THOUSAND	numeral
*[khwɛ] & *pakH	half	半 (一半)	816	HALF	noun
	bowlful (MW)	碗	1530	BOWL	noun
	arm spread (2 arms)	庹(两臂伸直）pai			
	span (hand-width)	柞 (拇指-中指)			
	CLF.times	次			
*C-ŋa¹	1S	我	1209	I	other
*C-ŋa¹ ʔ-way²/³	1PL	我们	1212	WE	other
*ni¹ ʔ-way²/³	1PL (inclusive)	咱们	1131	WE (INCLUSIVE)	other
*naŋ¹	2S	你	1215	THOU	other
*naŋ¹ ʔ-way²/³	2PL	你们	1213	YOU	other
*ʒaŋ²	3S	他	262	HE OR SHE OR IT	other
